title,artist,artist nationality,sitter,is_self_portrait,sitter gender,size,date,thumbnail,mediaURLs
Emily Smiley Snowden,"Charles Peale Polk (b. Annapolis, MD 1767; d. Richmond Courthouse, VA 1822)",American,Emily Snowden,FALSE,Female,Regular,1793,"https://ids.si.edu/ids/iiif/SAAM-1977.104_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1977.104_1]
English Gentleman,,English,,FALSE,Male,Miniature,ca. 1810,"https://ids.si.edu/ids/iiif/SAAM-1950.4.21_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.21_1]
Fisher Ames,Gilbert Stuart (b. 3 Dec 1755; 9 Jul 1828),American,Fisher Ames (b. 9 Apr 1758; d. 4 Jul 1808),FALSE,Male,Regular,ca. 1807,"https://ids.si.edu/ids/iiif/NPG-NPG_79_215Ames-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_79_215Ames-000001]
Francis Asbury,John Paradise (b. 24 Oct 1783; d. 26 Sep 1833),American,Francis Asbury (b. Aug 1745; d. 31 Mar 1816),FALSE,Male,Regular,1813,"https://ids.si.edu/ids/iiif/NPG-NPG_90_82Asbury-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_90_82Asbury-000001]
Francis Scott Key,Rembrandt Peale (b. 22 Feb 1778; 3 Oct 1860),American,Francis Scott Key (b. 1 Aug 1779; d. 11 Jan 1843),FALSE,Male,Regular,ca. 1796,"https://ids.si.edu/ids/iiif/NPG-NPG_2016_22/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2016_22]
Frederick Augustus Conrad Muhlenberg,Joseph Wright (b. 16 Jul 1756l d.11 Oct 1793),English,Frederick Augustus Conrad Muhlenberg (b. 1 Jan 1750; d. 4 Jun 1801),FALSE,Male,Regular,1790,"https://ids.si.edu/ids/iiif/NPG-NPG_74_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_74_1]
General John Cadwalader,"Charles Willson Peale (b. Queen Anne's County, MD 1741; d. Philadelphia, PA 1827)",American,John Cadwalader,FALSE,Male,Miniature,ca. 1788,"https://ids.si.edu/ids/iiif/SAAM-1999.27.30_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.30_1]
George Clinton,,,George Clinton (b. 26 Jul 1739; d. 20 Apr 1812),FALSE,Male,Regular,ca. 1806,"https://ids.si.edu/ids/iiif/NPG-NPG_84_172/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_84_172]
George Clymer,,,George Clymer (b. 16 Mar 1739; d. 25 Jan 1813),FALSE,Male,Regular,ca. 1807-10,"https://ids.si.edu/ids/iiif/NPG-7200010A/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-7200010A]
George Fisher,"Raphaelle Peale (b. Annapolis, MD 1774; d. Philadelphia, PA 1825)",American,George Fisher,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1950.4.24_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.24_1]
George Read,Robert Edge Pine (b. 1730; d. 1788),English,George Read (b. 18 Sep 1733; d. 21 Sep 1798),FALSE,Male,Regular,1784,"https://ids.si.edu/ids/iiif/NPG-NPG_72_4/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_72_4]
George Rogers Clark,,,Gen. George Rogers Clark (b. 19 Nov 1752; d. 13 Feb 1818),FALSE,Male,Regular,ca. 1810,"https://ids.si.edu/ids/iiif/NPG-NPG_69_48/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_69_48]
George Washington,Rembrandt Peale (b. 22 Feb 1778; 3 Oct 1860),American,George Washington (b. 22 Feb 1732; d. 14 Dec 1799),FALSE,Male,Regular,1795,"https://ids.si.edu/ids/iiif/NPG-NPG_65_59/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_65_59]
George Washington,Robert Edge Pine (b. 1730; d. 1788),English,George Washington (b. 22 Feb 1732; d. 14 Dec 1799),FALSE,Male,Regular,1785,"https://ids.si.edu/ids/iiif/NPG-NPG_80_16GW-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_80_16GW-000001]
George Washington,,,George Washington,FALSE,Male,Regular,1803,"https://ids.si.edu/ids/iiif/SAAM-XX108A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-XX108A_1]
George Washington,Ellen Wallace Sharples (b. 1769; d. 1849),English,George Washington (b. 22 Feb 1732; d. 14 Dec 1799),FALSE,Male,Regular,ca. 1803,"https://ids.si.edu/ids/iiif/NPG-NPG_2013_142GW-000001/full/250,/0/default.jpg","[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_142GW-000001, https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_142GW_int, https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_142versoGW_int]"
George Washington,,,George Washington (b. 22 Feb 1732; d. 14 Dec 1799),FALSE,Male,Regular,after 1796,"https://ids.si.edu/ids/iiif/NPG-NPG_2013_140GW-000001/full/250,/0/default.jpg","[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_140GW-000001, https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_140versoGW_int]"
George Washington,William Clarke (b. 1785; d. 1806),American,George Washington (b. 22 Feb 1732; d. 14 Dec 1799),FALSE,Male,Regular,1800,"https://ids.si.edu/ids/iiif/NPG-NPG_2012_90GW-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2012_90GW-000001]
George Washington (Lansdowne Portrait),Gilbert Stuart (b. 3 Dec 1755; 9 Jul 1828),American,George Washington (b. 22 Feb 1732; d. 14 Dec 1799),FALSE,Male,Regular,1796,"https://ids.si.edu/ids/iiif/NPG-NPG_2001_13_ext/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2001_13_ext]
Henry B. Bounetheau's Aunt,"Edward Greene Malbone (b. Newport, RI 1777; Savannah, GA 1807)",American,aunt Henry B. Bounetheau,FALSE,Female,Miniature,ca. 1804,"https://ids.si.edu/ids/iiif/SAAM-1946.3.16_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1946.3.16_1]
Henry Cruger,,,Henry Cruger (b. 22 Nov 1739; d. 24 Apr 1827),FALSE,Male,Regular,1770,"https://ids.si.edu/ids/iiif/NPG-NPG_81_117Cruger-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_81_117Cruger-000001]
Henry Knox,Charles Peale Polk (b. 17 Mar 1767; 6 May 1822),American,Henry Knox (b. 25 Jul 1750; d. 25 Oct 1806),FALSE,Male,Regular,after 1783,"https://ids.si.edu/ids/iiif/NPG-NPG_73_11/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_73_11]
Henry Laurens,John Singleton Copley (b. 3 Jul 1738; 9 Sep 1815),American,Henry Laurens (b. 6 Mar 1724; d. 8 Dec 1792),FALSE,Male,Regular,1782,"https://ids.si.edu/ids/iiif/NPG-NPG_65_45Laurens_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_65_45Laurens_d1]
Horatio Gates,"James Peale (b. Chestertown, MD 1749; Philadelphia, PA 1831)",American,Horatio Gates (b. 1727; d. 1806),FALSE,Male,Regular,ca. 1782,"https://ids.si.edu/ids/iiif/NPG-NPG_69_50/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_69_50]
Howes Goldsborough,"James Peale (b. Chestertown, MD 1749; Philadelphia, PA 1831)",American,Howes Goldsborough,FALSE,Male,Miniature,1799,"https://ids.si.edu/ids/iiif/SAAM-1948.5.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1948.5.1_1]
Isaac Praul,Lewis Aubineau (active 1799-1814),American,Isaac Praul,FALSE,Male,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1950.4.15_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.15_1]
Isabel O'Daly,"José Campeche y Jordán (b. San Juan, Puerto Rico 1751; d. San Juan, Puerto Rico 1809)",Puerto Rican,Isabel O'Daly,FALSE,Female,Regular,1808,"https://ids.si.edu/ids/iiif/SAAM-1996.91.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.2_1]
"James Cunningham, Last Earl of Glencairn",,English,James Cunningham,FALSE,Male,Miniature,ca. 1790,"https://ids.si.edu/ids/iiif/SAAM-1951.3.8_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1951.3.8_1]
James Madison,Thomas Sully (b. 19 Jun 1783; d. 5 Nov 1872),"American, English",James Madison (b. 16 Mar 1751; d. 28 Jun 1836),FALSE,Male,Regular,1809,"https://ids.si.edu/ids/iiif/NPG-NPG_2019_32-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2019_32-000001]
James Rumsey,,,James Rumsey,FALSE,Male,Regular,ca. 1790,"https://ids.si.edu/ids/iiif/SAAM-1957.11.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1957.11.2_1]
James Smithson,James Roberts (b. 1753; d. 1809),English,James Smithson (b. ca. 1765; d. 1829),FALSE,Male,Regular,1786,"https://ids.si.edu/ids/iiif/NPG-NPG_96_28Smithson1L-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_96_28Smithson1L-000001]
